KW	category	node_weight	occurrence
escherichia coli infections/drug therapy	MESH	0.010752688172043012	1
anti-bacterial agents/adverse effects	MESH	0.010752688172043012	1
virus diseases/etiology	MESH	0.010752688172043012	1
neoplasms/drug therapy	MESH	0.12903225806451613	12
clostridium infections/chemically induced	MESH	0.010752688172043012	1
immune system diseases/drug therapy	MESH	0.010752688172043012	1
IL6	GENE	0.021505376344086023	2
LIF	GENE	0.010752688172043012	1
gastrointestinal neoplasms/drug therapy	MESH	0.010752688172043012	1
BTLA	GENE	0.010752688172043012	1
CD28	GENE	0.010752688172043012	1
CSF2	GENE	0.010752688172043012	1
HAVCR2	GENE	0.010752688172043012	1
IL15	GENE	0.010752688172043012	1
IL17C	GENE	0.010752688172043012	1
IL21	GENE	0.010752688172043012	1
IL22	GENE	0.021505376344086023	2
IL4	GENE	0.010752688172043012	1
arthritis/chemically induced	MESH	0.010752688172043012	1
glucocorticoids	MESH	0.010752688172043012	1
CHI3L1	GENE	0.010752688172043012	1
CXCL8	GENE	0.010752688172043012	1
protective agents/pharmacology	MESH	0.010752688172043012	1
mesalamine/pharmacology	MESH	0.010752688172043012	1
colon/drug effects	MESH	0.03225806451612903	3
immune checkpoint inhibitors/pharmacology	MESH	0.043010752688172046	4
trinitrobenzenesulfonic acid/adverse effects	MESH	0.010752688172043012	1
ACAD8	GENE	0.021505376344086023	2
PDCD1	GENE	0.26881720430107525	25
CD274	GENE	0.16129032258064516	15
CTLA4	GENE	0.12903225806451613	12
neoplasms	MESH	0.043010752688172046	4
immune checkpoint inhibitors	MESH	0.3225806451612903	30
infliximab/adverse effects	MESH	0.043010752688172046	4
colitis	MESH	0.043010752688172046	4
recurrence	MESH	0.010752688172043012	1
diarrhea	MESH	0.021505376344086023	2
inflammatory bowel diseases	MESH	0.021505376344086023	2
LTF	GENE	0.010752688172043012	1
colitis ulcerative	MESH	0.010752688172043012	1
colitis/therapy	MESH	0.010752688172043012	1
prednisolone/therapeutic use	MESH	0.010752688172043012	1
carcinoma non-small-cell lung	MESH	0.010752688172043012	1
esophagitis	MESH	0.010752688172043012	1
ulcer/chemically induced	MESH	0.010752688172043012	1
diarrhea/therapy	MESH	0.010752688172043012	1
colitis microscopic/chemically induced	MESH	0.021505376344086023	2
immunologic factors	MESH	0.021505376344086023	2
neoplasms/therapy	MESH	0.010752688172043012	1
colitis/chemically induced	MESH	0.7419354838709677	69
crohn disease/drug therapy	MESH	0.010752688172043012	1
lung neoplasms	MESH	0.010752688172043012	1
cd8-positive t-lymphocytes	MESH	0.010752688172043012	1
cytomegalovirus infections/complications	MESH	0.010752688172043012	1
TNF	GENE	0.03225806451612903	3
intestinal mucosa/diagnostic imaging	MESH	0.010752688172043012	1
drug resistance/immunology	MESH	0.010752688172043012	1
colon/diagnostic imaging	MESH	0.010752688172043012	1
skin neoplasms/drug therapy	MESH	0.021505376344086023	2
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043012	1
steroids/adverse effects	MESH	0.010752688172043012	1
glucocorticoids/pharmacology	MESH	0.010752688172043012	1
melanoma/drug therapy	MESH	0.053763440860215055	5
immunosuppressive agents/pharmacology	MESH	0.010752688172043012	1
drug-related side effects and adverse reactions	MESH	0.021505376344086023	2
mucositis/chemically induced	MESH	0.010752688172043012	1
adrenal cortex hormones/therapeutic use	MESH	0.03225806451612903	3
SNCA	GENE	0.03225806451612903	3
inflammation/drug therapy	MESH	0.021505376344086023	2
